track,h,search,queue,algo,domain,cov
ipc2014,cg1,lazy,FIFO,hw,maintenance,0
ipc2014,cg1,lazy,FIFO,hw,openstacks,9
ipc2014,cg1,lazy,FIFO,hw,hiking,16
ipc2014,cg1,lazy,FIFO,hw,visitall,0
ipc2014,cg1,lazy,FIFO,hw,ged,0
ipc2014,ff1,lazy,FIFO,hw,barman,0
ipc2014,ff1,lazy,FIFO,hw,citycar,0
ipc2014,ff1,lazy,FIFO,hw,parking,2
ipc2014,ff1,lazy,FIFO,hw,childsnack,0
ipc2014,ff1,lazy,FIFO,hw,floortile,2
ipc2014,ff1,lazy,FIFO,hw,tetris,8
ipc2014,ff1,lazy,FIFO,hw,cavediving,6
ipc2014,ff1,lazy,FIFO,hw,transport,0
ipc2014,ff1,lazy,FIFO,hw,thoughtful,7
ipc2014,ff1,lazy,FIFO,hw,maintenance,0
ipc2014,ff1,lazy,FIFO,hw,openstacks,20
ipc2014,ff1,lazy,FIFO,hw,hiking,20
ipc2014,ff1,lazy,FIFO,hw,visitall,0
ipc2014,ff1,lazy,FIFO,hw,ged,20
ipc2011,ff1,lazy,FIFO,hw,nomystery,7
ipc2011,ff1,lazy,FIFO,hw,tidybot,16
ipc2011,ff1,lazy,FIFO,hw,pegsol,20
ipc2011,ff1,lazy,FIFO,hw,visitall,4
ipc2011,ff1,lazy,FIFO,hw,transport,0
ipc2011,ff1,lazy,FIFO,hw,elevators,16
ipc2011,ff1,lazy,FIFO,hw,woodworking,12
ipc2011,ff1,lazy,FIFO,hw,barman,8
ipc2011,ff1,lazy,FIFO,hw,parcprinter,18
ipc2011,ff1,lazy,FIFO,hw,parking,5
ipc2011,ff1,lazy,FIFO,hw,floortile,4
ipc2011,ff1,lazy,FIFO,hw,scanalyzer,16
ipc2011,ff1,lazy,FIFO,hw,sokoban,19
ipc2011,ff1,lazy,FIFO,hw,openstacks,20
ipc2011,cg1,lazy,FIFO,hw,nomystery,5
ipc2011,cg1,lazy,FIFO,hw,tidybot,14
ipc2011,cg1,lazy,FIFO,hw,pegsol,20
ipc2011,cg1,lazy,FIFO,hw,visitall,3
ipc2011,cg1,lazy,FIFO,hw,transport,10
ipc2011,cg1,lazy,FIFO,hw,elevators,8
